SMILES	MW	TPSA	AROM	HBA	HBD	ROTB	LOGP	RING
Oc1ncc(F)cn1	114.07900000000001	46.010000000000005	1	3	1		0.3212999999999999	1
Oc1ncc(F)cn1	114.07900000000001	46.010000000000005	1	3	1		0.3212999999999999	1
OCc1ccc(C=O)o1	126.11099999999998	50.44	1	3	1	2	0.5844	1
OCc1ccc(C=O)o1	126.11099999999998	50.44	1	3	1	2	0.5844	1
OCc1ccc(C=O)o1	126.11099999999998	50.44	1	3	1	2	0.5844	1
O[C@H]1CNC(=C)N[C@@H]1C(O)=O	158.15699999999998	81.59		4	4	1	-1.5354999999999992	1
CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C	341.49500000000006	43.7	2	3	2	8	4.525300000000004	2
CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C	341.49500000000006	43.7	2	3	2	8	4.525300000000004	2
NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O	220.22799999999998	99.34	2	3	4	3	0.8279000000000003	2
NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O	220.22799999999998	99.34	2	3	4	3	0.8279000000000003	2
Ic1cncc(OC[C@@H]2CCN2)c1	290.104	34.15	1	3	1	3	1.4268999999999998	2
Ic1cncc(OC[C@@H]2CCN2)c1	290.104	34.15	1	3	1	3	1.4268999999999998	2
Cc1ccc(C[N+](C)(C)C)o1	154.233	13.14	1	1		2	1.7942200000000001	1
Cc1ccc(C[N+](C)(C)C)o1	154.233	13.14	1	1		2	1.7942200000000001	1
C[C@H]1NC(=O)NC1=O	114.10399999999998	58.2		2	2		-0.7857000000000001	1
C[C@H]1NC(=O)NC1=O	114.10399999999998	58.2		2	2		-0.7857000000000001	1
C[C@@H]1NC(=O)NC1=O	114.10399999999998	58.2		2	2		-0.7857000000000001	1
OC(=O)c1cc(O)c2c(Cl)cc(Cl)cc2n1	258.05999999999995	70.42	2	3	2	1	2.9453999999999994	2
OC(=O)c1cc(O)c2c(Cl)cc(Cl)cc2n1	258.05999999999995	70.42	2	3	2	1	2.9453999999999994	2
COc1ccc(cc1)C1Oc2c(CC=C(C)C)c(O)cc(O)c2C(=O)C1=O	368.3850000000001	93.06	2	6	2	4	3.5006000000000026	3
